empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
DLHC|0|NASDAQ|2020|03|06|15|30|29000|5.69|5.05|5.16|5.31|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|1|NASDAQ|2020|03|05|15|30|27500|5.72|5.28|5.48|5.55|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|2|NASDAQ|2020|03|04|15|30|75500|5.99|5.45|5.53|5.6|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|3|NASDAQ|2020|03|03|15|30|63600|5.79|5.12|5.5|5.15|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|4|NASDAQ|2020|03|02|15|30|54100|5.25|4.75|5.06|5.09|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|5|NASDAQ|2020|02|28|15|30|41700|5.13|4.92|5.07|4.92|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|6|NASDAQ|2020|02|27|15|30|39300|5.15|4.6|5.05|4.85|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|7|NASDAQ|2020|02|26|15|30|22800|4.99|4.61|4.92|4.61|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|8|NASDAQ|2020|02|25|15|30|23700|4.73|4.43|4.68|4.61|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|9|NASDAQ|2020|02|24|15|30|17400|4.67|4.51|4.56|4.54|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|10|NASDAQ|2020|02|21|15|30|2400|4.7|4.65|4.69|4.69|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|11|NASDAQ|2020|02|20|15|30|262200|4.71|4.45|4.6|4.62|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|12|NASDAQ|2020|02|19|15|30|53300|4.75|4.53|4.6|4.59|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|13|NASDAQ|2020|02|18|15|30|37300|4.58|4.47|4.5|4.55|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|14|NASDAQ|2020|02|14|15|30|4100|4.67|4.53|4.67|4.64|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|15|NASDAQ|2020|02|13|15|30|30300|4.69|4.31|4.6|4.35|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|16|NASDAQ|2020|02|12|15|30|9400|4.39|4.16|4.24|4.28|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|17|NASDAQ|2020|02|11|15|30|20000|4.34|4.23|4.26|4.3|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|18|NASDAQ|2020|02|10|15|30|22800|4.44|4.17|4.18|4.43|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|19|NASDAQ|2020|02|07|15|30|26700|4.72|4.4|4.48|4.64|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|20|NASDAQ|2020|02|06|15|30|10600|4.71|4.41|4.57|4.53|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|21|NASDAQ|2020|02|05|15|30|5200|4.79|4.55|4.55|4.66|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|22|NASDAQ|2020|02|04|15|30|29200|4.81|4.49|4.68|4.49|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|23|NASDAQ|2020|02|03|15|30|17300|4.48|4.32|4.42|4.33|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|24|NASDAQ|2020|01|31|15|30|9300|4.62|4.32|4.33|4.55|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|25|NASDAQ|2020|01|30|15|30|6600|4.68|4.5|4.55|4.65|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|26|NASDAQ|2020|01|29|15|30|7400|4.86|4.54|4.58|4.81|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|27|NASDAQ|2020|01|28|15|30|4400|4.97|4.82|4.82|4.93|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|28|NASDAQ|2020|01|27|15|30|47900|5.1|4.77|4.85|5|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|29|NASDAQ|2020|01|24|15|30|7800|5.03|4.97|5|4.99|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|30|NASDAQ|2020|01|23|15|30|11200|5.09|4.85|4.91|5|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|31|NASDAQ|2020|01|22|15|30|7600|5.12|4.75|5|5.12|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|32|NASDAQ|2020|01|21|15|30|74400|5.17|4.69|5.09|4.69|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|33|NASDAQ|2020|01|17|15|30|52200|5|4.61|4.73|4.9|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|34|NASDAQ|2020|01|16|15|30|56600|5|4.56|4.89|4.74|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|35|NASDAQ|2020|01|15|15|30|41400|4.84|4.33|4.65|4.33|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|36|NASDAQ|2020|01|14|15|30|6200|4.45|4.39|4.41|4.41|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|37|NASDAQ|2020|01|13|15|30|4100|4.4|4.3|4.4|4.4|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|38|NASDAQ|2020|01|10|15|30|5200|4.43|4.3|4.35|4.4|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|39|NASDAQ|2020|01|09|15|30|4300|4.44|4.36|4.37|4.37|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|40|NASDAQ|2020|01|08|15|30|3900|4.43|4.37|4.41|4.37|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|41|NASDAQ|2020|01|07|15|30|14900|4.47|4.26|4.37|4.47|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|42|NASDAQ|2020|01|06|15|30|16500|4.48|4.2|4.21|4.26|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|43|NASDAQ|2020|01|03|15|30|2100|4.5|4.25|4.25|4.49|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|44|NASDAQ|2020|01|02|15|30|13500|4.5|4.13|4.5|4.3|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|45|NASDAQ|2019|12|31|15|30|5100|4.25|4.17|4.19|4.17|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|46|NASDAQ|2019|12|30|15|30|17200|4.2|4.11|4.14|4.16|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
DLHC|47|NASDAQ|2019|12|27|15|30|14000|4.2|4.05|4.12|4.05|staffingoutsourcingservices|11.5|1|1|12.96|-|1900|usa|1.18|1.14|19.01|Feb 05 AMC|services|57.299999|63.52
